rainfall,temperature,humidity,soil_N,soil_P,soil_K,crop_yield
137.9835287,25.3612,60.66264004,30.5424,29.9527,15.4924,167.622
117.0699783,27.5984,58.88487031,66.5424,40.129,38.8567,183.42
138.8365756,30.4776,53.04809213,70.7235,75.4646,24.5877,179.0161
191.1304631,14.2465,73.98383502,58.2821,62.8328,42.7492,193.1298
214.9056924,30.4182,74.69840199,35.1526,36.4626,14.2246,195.254
124.2796408,29.5574,86.64473876,39.2897,64.6835,25.1957,171.4925
139.9825783,32.4791,41.84749829,44.0287,54.7136,56.2822,174.004
73.41523092,27.2568,31.35105279,98.5713,20.014,35.8393,151.6377
119.0664492,40.2165,71.9835757,27.3815,34.0863,19.0838,109.1809
92.65257847,23.8008,58.15052275,69.3595,33.2156,69.4225,161.6693
160.8753713,20.8645,51.33019221,54.2932,48.6894,10.9261,179.3881
72.62813491,36.3628,50.84611377,35.5248,66.2758,36.2684,124.8056
142.4867239,26.7127,47.73178162,80.8417,60.1087,61.3769,211.2642
189.3655613,21.4958,46.49422252,41.9575,26.7202,55.8347,194.6688
89.45158316,29.6278,20,87.5779,22.5677,73.2702,161.3672
216.4042898,35.1731,70.55511294,55.2184,42.6325,72.8808,200.2823
120.8598421,33.7395,56.29309499,42.6603,27.386,62.886,169.9449
154.0220453,31.4351,59.93595629,47.1681,52.7389,38.9552,187.4741
176.9808244,25.5301,57.2725413,34.0856,41.9936,43.451,182.8548
36.5539713,24.8663,57.80205741,36.6594,23.0555,75.6963,127.5003
116.5224528,38.2967,48.20800163,39.7463,36.6774,42.2151,136.7565
121.8453222,33.5544,66.7217917,99.8783,24.7232,60.2118,171.7262
131.8621332,23.9835,54.65914341,33.5589,18.8131,73.0583,179.8903
116.8354622,27.5091,64.57710512,60.8394,22.9366,37.4644,166.0427
145.4931172,28.8689,60.25837319,66.6632,12.5607,46.2755,193.928
146.3270878,23.8331,30.18680466,87.9964,70.5722,68.0252,187.3512
147.3443949,28.187,61.4126582,50.4029,67.4704,41.7524,184.9679
122.068397,25.9353,62.79972313,20.8693,39.4659,65.6566,155.3162
139.6323824,25.5729,65.97877991,25.5436,42.2375,64.1764,178.5739
172.846085,31.0087,55.36366426,27.6218,65.6741,76.8843,201.7353
194.9271507,29.557,73.15697908,81.1133,24.4303,75.8266,222.5949
53.74013805,30.6216,48.31928135,64.3789,52.0777,64.8798,163.8818
133.3321549,35.3862,58.78105957,53.558,32.264,64.7307,167.9227
73.61676996,27.7822,61.38858195,89.9266,77.0925,68.6356,178.124
182.0449058,37.7786,55.48742487,22.8261,57.7561,35.6803,170.4984
75.85918738,30.1984,58.96893562,51.8144,78.7217,52.1964,159.824
126.5852303,36.0135,32.16576286,75.306,74.3305,66.9163,173.8895
126.6492786,40.6508,61.54480521,86.4334,13.8997,79.0717,140.1483
99.97023794,24.4933,58.94470938,99.0519,31.2099,59.4169,184.3438
174.9633196,31.4139,78.93325897,55.9699,28.4677,10.583,186.6516
84.52290967,29.0142,62.62549569,90.2867,29.2034,47.9496,172.5582
102.784674,30.0348,73.24826458,28.0951,58.4918,40.1462,155.5122
117.3960531,22.4497,41.00072626,54.8,18.3051,36.8687,155.6618
122.3898879,31.4329,44.53793339,36.6377,12.3471,43.8998,164.4142
82.37313892,20.6531,66.95673394,21.1259,18.981,18.8668,135.7117
116.2701563,24.6553,61.87591552,80.7703,23.4357,27.5876,171.9568
117.1156181,29.8537,64.96435455,24.1022,61.4772,61.8031,167.2592
125.3176831,33.6344,67.31779418,23.4657,73.97,78.7739,165.7354
135.0547904,30.7706,30.31589274,66.6699,79.6978,35.8372,172.696
92.80921669,36.3396,57.48442901,28.8657,56.3845,23.9998,138.5702
103.5766725,23.5728,63.59054951,39.7762,54.0542,70.6266,167.8298
76.37408655,28.4475,56.4221827,98.1594,19.2048,60.4994,145.8932
123.1858146,14.8515,74.0958811,78.3655,74.0714,11.6783,153.9744
156.3390363,25.3445,56.63615852,75.2948,57.9087,36.0039,200.3496
135.6725387,24.2284,69.13720674,24.9838,54.9185,62.4847,179.1783
172.4263421,22.5711,82.5463186,98.1511,49.7611,66.3815,191.0938
200.9777016,27.8829,42.78021731,29.5873,36.0517,24.439,197.5622
53.65214815,19.6657,56.11697273,30.6068,49.0261,11.9538,123.6357
105.1897243,27.019,49.08553006,69.2588,63.8421,78.5006,171.6815
116.0627779,8.3523,69.82355265,80.7693,43.9942,43.0173,120.5719
168.728132,22.2999,48.58712242,85.0815,58.8854,52.7325,201.2275
139.6074177,31.7627,58.03555681,33.0129,69.6424,19.8235,166.0309
122.8791136,27.5432,56.38155848,88.5495,78.6505,25.4623,187.6839
156.6847138,34.4178,78.72119279,36.1517,30.2729,12.1488,158.7867
75.09959023,30.3591,51.47990128,74.3716,39.3115,66.5076,163.0781
171.9764951,25.1554,35.62483867,74.91,43.8811,50.0124,200.8112
114.2810884,12.8148,89.32292977,86.1292,69.1946,52.4811,156.4506
118.8064814,23.0457,46.5690099,51.3487,20.7855,18.7821,168.1791
115.3731653,27.2279,47.95711766,98.1933,53.2041,71.3154,197.0988
126.327679,29.3283,71.64446998,40.9726,51.3115,74.1989,185.3308
124.2961957,23.0572,66.6543088,54.5976,16.9969,38.6574,175.4363
50.87409899,18.9588,49.58759895,33.3275,68.6811,35.9327,135.0823
139.4194492,22.5265,65.0096042,59.9166,71.0368,25.6298,187.5641
40.55496049,20.3683,61.98494458,62.0043,17.8761,27.2742,135.8261
122.1082961,28.8872,75.04724004,52.4591,70.1695,10.3435,173.1795
82.82704642,20.1217,38.88664967,75.7149,31.2195,61.6208,150.933
78.90508004,29.2581,64.54175903,74.6424,79.917,79.3019,168.8123
217.6243486,28.7926,68.43017115,68.6271,41.125,41.5421,203.0495
142.434669,24.4082,56.82061645,20.111,38.4756,72.3447,167.5793
69.12616426,27.5956,31.58368258,62.6455,63.178,64.3634,182.0373
132.0558753,29.2445,70.25367889,80.6138,66.1386,14.3776,186.278
159.7581285,34.4938,62.03500686,86.4963,41.954,53.081,189.1365
84.6804314,29.6429,34.45920421,52.0825,72.9442,42.2785,165.0062
82.91732909,33.218,75.97899717,39.1065,41.1343,30.6304,148.9157
119.9905197,20.5523,67.56838854,50.9012,43.4181,50.9156,182.2694
126.3136385,18.3216,75.14948523,88.1484,71.9107,42.6111,185.6057
181.9915747,24.7167,65.91276175,22.2543,40.707,74.081,186.815
157.44034,25.5276,57.00392714,72.3188,45.0696,14.9373,184.8078
142.4845246,33.3667,44.62366525,43.4403,36.973,74.5917,183.8268
239.3100442,27.9712,59.18019682,60.5044,74.3465,50.9109,236.6003
129.4921102,27.2357,56.30720564,53.5339,57.7884,76.0301,200.4835
62.98302075,28.4096,69.14410253,66.884,63.1764,55.0693,164.018
210.8438043,16.3048,82.5029504,46.8452,21.8254,17.0023,173.7675
62.26000836,21.4746,60.32896758,61.5251,14.6441,34.23,126.3771
127.6933541,12.6208,41.31795194,79.0558,59.8294,68.745,168.597
122.8393762,21.9308,40.3662777,55.3285,69.7783,42.4534,169.9922
124.8646795,19.6235,55.34422207,68.7818,50.5626,64.6381,172.0208
153.8652622,23.6565,81.04373531,65.7162,26.397,25.2573,174.0679
94.03203083,22.2858,62.41989807,79.0535,56.2768,41.4853,167.842
